id	description	en	local
def_seat_padded_node_0_desc		Outputs an on signal if this seat is occupied by a character.	Saídas um no sinal se este assento está ocupado por um personagem.
def_seat_passenger_name		Passenger Seat	Assento do passageiro
def_seat_passenger_desc		You can get in and out of the seat by interacting with it using [$[action_use_seat]]. You can place a rescued survivor in any seat by using [$[action_use_seat]] while carrying them.	Você pode entrar e sair do assento, interagindo com ele usando [$ [action_use_seat]]. Você pode colocar um sobrevivente resgatado em qualquer banco usando [$ [action_use_seat]], enquanto que os transportava.
def_seat_passenger_s_desc		A basic passenger seat.	Um assento básica passageiro.
def_seat_passenger_node_0_label		Occupied	Ocupado
def_seat_passenger_node_0_desc		Outputs an on signal if this seat is occupied by a character.	Saídas um no sinal se este assento está ocupado por um personagem.
def_seat_racing_name		Driver seat	Assento do motorista
def_seat_racing_desc		It provides 4 number outputs that produce a standard value ranging from -1 to 1, and 6 on/off outputs. You can get in and out of the driver seat by interacting with it using [$[action_use_seat]].	Ele fornece 4 saídas Número que produzem um valor padrão que varia entre -1 e 1 e 6 saídas de ligar / desligar. Você pode entrar e sair do banco do condutor, interagindo com ele usando [$ [action_use_seat]].
def_seat_racing_s_desc		The driver seat lets you translate keyboard presses into output signals that can control logic components.	O banco do condutor permite traduzir prensas de teclado em sinais de saída que pode controlar componentes de lógica.
def_seat_racing_node_0_label		Occupied	Ocupado
def_seat_racing_node_0_desc		Outputs an on signal if this seat is occupied by a character.	Saídas um no sinal se este assento está ocupado por um personagem.
def_seat_racing_node_1_label		Axis 1 [$[action_left]]/[$[action_right]]	Eixo 1 [$ [action_left]] / [$ [action_right]]
def_seat_racing_node_1_desc		Outputs a standard value between -1 and 1, controlled using [$[action_left]] and [$[action_right]]. [$[action_left]] causes the output value to move towards -1, and [$[action_right]] moves it towards 1.	Saídas um valor padrão entre -1 e 1, controlada usando [$ [action_left]] e [$ [action_right]]. [$ [Action_left]] faz com que o valor de saída para avançar para -1, e [[action_right] $] move-o para uma.
def_seat_racing_node_2_label		Axis 2 [$[action_up]]/[$[action_down]]	Eixo 2 [$ [action_up]] / [$ [action_down]]
def_seat_racing_node_2_desc		Outputs a standard value between -1 and 1, controlled using [$[action_up]] and [$[action_down]]. [$[action_down]] causes the output value to move towards -1, and [$[action_up]] moves it towards 1.	Saídas um valor padrão entre -1 e 1, controlada usando [$ [action_up]] e [$ [action_down]]. [$ [Action_down]] faz com que o valor de saída para avançar para -1, e [[action_up] $] move-o para uma.
def_seat_racing_node_3_label		Axis 3 [$[action_pedal_left]]/[$[action_pedal_right]]	Eixo 3 [$ [action_pedal_left]] / [$ [action_pedal_right]]
def_seat_racing_node_3_desc		Outputs a standard value between -1 and 1, controlled using [$[action_pedal_left]] and [$[action_pedal_right]]. [$[action_pedal_left]] causes the output value to move towards -1, and [$[action_pedal_right]] moves it towards 1.	Saídas um valor padrão entre -1 e 1, controlada usando [$ [action_pedal_left]] e [$ [action_pedal_right]]. [$ [Action_pedal_left]] faz com que o valor de saída para avançar para -1, e [[action_pedal_right] $] move-o para uma.
def_seat_racing_node_4_label		Axis 4 [$[action_throttle_up]]/[$[action_throttle_down]]	Eixo 4 [$ [action_throttle_up]] / [$ [action_throttle_down]]
def_seat_racing_node_4_desc		Outputs a standard value between -1 and 1, controlled using [$[action_throttle_up]] and [$[action_throttle_down]]. [$[action_throttle_down]] causes the output value to move towards -1, and [$[action_throttle_up]] moves it towards 1.	Saídas um valor padrão entre -1 e 1, controlada usando [$ [action_throttle_up]] e [$ [action_throttle_down]]. [$ [Action_throttle_down]] faz com que o valor de saída para avançar para -1, e [[action_throttle_up] $] move-o para uma.
def_seat_racing_node_5_label		Hotkey 1 [$[action_hotkey_1]]	Hotkey 1 [$ [action_hotkey_1]]
def_seat_racing_node_5_desc		Outputs an on signal when [$[action_hotkey_1]] is held, and off when it is not.	Saídas um no sinal quando [$ [action_hotkey_1]] é realizada, e desliga quando não é.
def_seat_racing_node_6_label		Hotkey 2 [$[action_hotkey_2]]	Hotkey 2 [$ [action_hotkey_2]]
def_seat_racing_node_6_desc		Outputs an on signal when [$[action_hotkey_2]] is held, and off when it is not.	Saídas um no sinal quando [$ [action_hotkey_2]] é realizada, e desliga quando não é.
def_seat_racing_node_7_label		Hotkey 3 [$[action_hotkey_3]]	Hotkey 3 [$ [action_hotkey_3]]
def_seat_racing_node_7_desc		Outputs an on signal when [$[action_hotkey_3]] is held, and off when it is not.	Saídas um no sinal quando [$ [action_hotkey_3]] é realizada, e desliga quando não é.
def_seat_racing_node_8_label		Hotkey 4 [$[action_hotkey_4]]	Hotkey 4 [$ [action_hotkey_4]]
def_seat_racing_node_8_desc		Outputs an on signal when [$[action_hotkey_4]] is held, and off when it is not.	Saídas de um em sinal quando [$ [action_hotkey_4]] é realizada, e desliga quando não é.
def_seat_racing_node_9_label		Hotkey 5 [$[action_hotkey_5]]	Hotkey 5 [$ [action_hotkey_5]]
def_seat_racing_node_9_desc		Outputs an on signal when [$[action_hotkey_5]] is held, and off when it is not.	Saídas um no sinal quando [$ [action_hotkey_5]] é realizada, e desliga quando não é.
def_seat_racing_node_10_label		Hotkey 6 [$[action_hotkey_6]]	Hotkey 6 [$ [action_hotkey_6]]
def_seat_racing_node_10_desc		Outputs an on signal when [$[action_hotkey_6]] is held, and off when it is not.	Saídas um no sinal quando [$ [action_hotkey_6]] é realizada, e desliga quando não é.
def_seat_racing_node_11_label		Seat data	dados de assento
def_seat_racing_node_11_desc		Outputs the axis, hotkey and occupied data from the seat. (On/Off 1+ : Hotkeys) (On/Off 32 : Occupied) (Value 1 : [$[action_left]]/[$[action_right]]) (Value 2 : [$[action_up]]/[$[action_down]]) (Value 3 : [$[action_pedal_left]]/[$[action_pedal_right]]) (Value 4 : [$[action_throttle_up]]/[$[action_throttle_down]])	Saídas do eixo, teclas de atalho e ocuparam os dados a partir do banco. (On / Off 1+: Teclas de atalho) (On / Off 32: Ocupado) (Valor 1: [$ [action_left]] / [$ [action_right]]) (Value 2: [$ [action_up]] / [$ [action_down ]]) (Valor 3: [$ [action_pedal_left]] / [$ [action_pedal_right]]) (Valor 4: [$ [action_throttle_up]] / [$ [action_throttle_down]])
def_seat_stretcher_name		Stretcher	Maca
def_seat_stretcher_desc		You can get in and out of the stretcher by interacting with it using [$[action_use_seat]]. You can place a rescued survivor in any stretcher by using [$[action_use_seat]] while carrying them.	Você pode entrar e sair da maca, interagindo com ele usando [$ [action_use_seat]]. Você pode colocar um sobrevivente resgatado em qualquer maca usando [$ [action_use_seat]], enquanto que os transportava.
def_seat_stretcher_s_desc		A strecher that connects below an attachment point.	Um strecher que liga abaixo de um ponto de fixação.
def_seat_stretcher_node_0_label		Occupied	Ocupado
def_seat_stretcher_node_0_desc		Outputs an on signal if this bed is occupied by a character.	Saídas um no sinal se esta cama é ocupado por um personagem.
def_sign_name		Paintable Indicator	Indicador paintable
def_sign_desc		This block has a paintable surface where small grid squares can be painted individually. Use additive painting mode to paint the backlight grid. The backlight can be enabled by using an on signal and a name can be set with the select tool that will be visible when the indicator is looked at by a player.	Este bloco tem uma superfície paintable onde quadrículas pequenas podem ser pintados individualmente. Use o modo de pintura aditivo para pintar a grade de luz de fundo. A luz de fundo pode ser ativado usando um no sinal e um nome pode ser definido com a ferramenta de seleção que será visível quando o indicador é olhado por um jogador.
def_sign_s_desc		A backlit indicator for displaying painted detail.	Um indicador retroiluminado para exibir detalhes pintados.
def_sign_node_0_label		Backlight	Backlight
def_sign_node_0_desc		Switches the backlight on when receiving an on signal.	Muda a luz de fundo quando receber um sinal diante.
def_sign_node_1_label		Electric	Elétrico
def_sign_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_sign_na_name		Paintable Sign	paintable Entrar
def_sign_na_desc		This block has a paintable surface where small grid squares can be painted individually.	Este bloco tem uma superfície paintable onde quadrículas pequenas podem ser pintados individualmente.
def_sign_na_s_desc		Sign block for displaying painted detail.	Assinar bloco para exibir detalhes pintados.
def_ski_name		Ski	Esqui
def_ski_desc		This component has low friction moving along its length, but grips laterally.	Este componente tem baixa fricção se deslocam ao longo do seu comprimento, mas agarra lateralmente.
def_ski_s_desc		A wide hinged ski.	Uma ampla esqui articulada.
def_ski_node_0_label		Steering	Direção
def_ski_node_0_desc		Accepts a value between -1 and 1 that represents the extremes of the steering rotation.	Aceita um valor entre -1 e 1 que representa os extremos da rotação da direcção.
def_ski_node_1_label		Electric	Elétrico
def_ski_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_ski_small_name		Ski (Small)	Esqui (Small)
def_ski_small_desc		This component has low friction moving along its length, but grips laterally.	Este componente tem baixa fricção se deslocam ao longo do seu comprimento, mas agarra lateralmente.
def_ski_small_s_desc		A small hinged ski.	Uma pequena esqui articulada.
def_ski_small_node_0_label		Steering	Direção
def_ski_small_node_0_desc		Accepts a value between -1 and 1 that represents the extremes of the steering rotation.	Aceita um valor entre -1 e 1 que representa os extremos da rotação da direcção.
def_ski_small_node_1_label		Electric	Elétrico
def_ski_small_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_small_light_name		Light	Luz
def_small_light_desc			#VALOR!
def_small_light_s_desc		A basic light that can be controlled using an on/off signal.	Uma luz de base que pode ser controlado através de um sinal de ligar / desligar.
def_small_light_node_0_label		Light Switch	Interruptor
def_small_light_node_0_desc		Controls whether or not the light is switched on.	Controla se ou não a luz está ligada.
def_small_light_node_1_label		Electric	Elétrico
def_small_light_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_small_light_rgb_name		Light (RGB)	Luz (RGB)
def_small_light_rgb_desc		Three channels of the composite input can be used to set the red, green and blue components of the light's color using numbers between 0 and 1. The light can also operate in HSV mode, where the 3 inputs correspond to the hue, saturation and value (brightness) of the color between 0 and 1. The color mode and input channels can be customised by selecting this component with the select tool.	Três canais de entrada compósito pode ser usado para definir os componentes vermelhos, verdes e azuis de números de cor usando o de luz entre 0 e 1. A luz pode também operar no modo de HSV, em que os 3 entradas correspondem à tonalidade, saturação e valor (brilho) da cor entre 0 e 1. o modo de cor e os canais de entrada pode ser personalizado, seleccionando deste componente com a ferramenta de selecção.
def_small_light_rgb_s_desc		An advanced light that can be controlled using a microcontroller.	Uma luz avançado que pode ser controlado usando um microcontrolador.
def_small_light_rgb_node_0_label		Color Data	dados cor
def_small_light_rgb_node_0_desc		Composite link containing the light's color data.	ligação Composite contendo dados de cor da luz.
def_small_light_rgb_node_1_label		Electric	Elétrico
def_small_light_rgb_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_solar_name		Solar Cell	Célula solar
def_solar_desc		The cell generates electrical current based on time of day and angle towards the sun.	A célula gera corrente elétrica com base na hora do dia e o ângulo para o sol.
def_solar_s_desc		A solar cell for generating electricity.	Uma célula solar para a geração de electricidade.
def_solar_node_0_label		Electric	Elétrico
def_solar_node_0_desc		The electric connection to output electric energy.	A conexão elétrica para produção de energia elétrica.
def_solid_rocket_huge_name		Solid Rocket Fuel (Huge)	Sólido combustível de Rocket (enorme)
def_solid_rocket_huge_desc		Fuel can be stacked to increase the burn duration of a rocket booster.	O combustível pode ser empilhados para aumentar a duração queimadura de um foguete.
def_solid_rocket_huge_s_desc		A huge solid rocket fuel segment.	Um segmento de combustível sólido enorme.
def_solid_rocket_large_name		Solid Rocket Fuel (Large)	Sólido combustível de Rocket (grande)
def_solid_rocket_large_desc		Fuel can be stacked to increase the burn duration of a rocket booster.	O combustível pode ser empilhados para aumentar a duração queimadura de um foguete.
def_solid_rocket_large_s_desc		A large solid rocket fuel segment.	Um grande segmento combustível sólido.
def_solid_rocket_medium_name		Solid Rocket Fuel (Medium)	Sólido combustível de Rocket (Médio)
def_solid_rocket_medium_desc		Fuel can be stacked to increase the burn duration of a rocket booster.	O combustível pode ser empilhados para aumentar a duração queimadura de um foguete.
def_solid_rocket_medium_s_desc		A medium solid rocket fuel segment.	Um segmento de combustível sólido médio.
def_solid_rocket_nozzle_huge_name		Solid Rocket Booster (Huge)	Sólido de Rocket impulsionador (enorme)
def_solid_rocket_nozzle_huge_desc		Additional fuel can be stacked on top of the booster to increase its burn duration. The burn rate can be set in the component's properties, with slower burn rates producing less thrust.	combustível adicionais podem ser empilhados em cima do booster para aumentar sua duração queimadura. A taxa de queima pode ser definido nas propriedades do componente, com taxas de queima mais lentas produzem menos empuxo.
def_solid_rocket_nozzle_huge_s_desc		A huge single-use solid rocket booster.	Uma enorme de uso único foguete sólida.
def_solid_rocket_nozzle_huge_node_0_label		Trigger	Desencadear
def_solid_rocket_nozzle_huge_node_0_desc		Triggers the booster's combustion.	Desencadeia a combustão do reforço.
def_solid_rocket_nozzle_huge_node_1_label		Fuel Remaining	combustível restante
def_solid_rocket_nozzle_huge_node_1_desc		The booster's remaining fuel level.	O reforço é remanescente do nível de combustível.
def_solid_rocket_nozzle_large_name		Solid Rocket Booster (Large)	Sólido de Rocket impulsionador (grande)
def_solid_rocket_nozzle_large_desc		Additional fuel can be stacked on top of the booster to increase its burn duration. The burn rate can be set in the component's properties, with slower burn rates producing less thrust.	combustível adicionais podem ser empilhados em cima do booster para aumentar sua duração queimadura. A taxa de queima pode ser definido nas propriedades do componente, com taxas de queima mais lentas produzem menos empuxo.
def_solid_rocket_nozzle_large_s_desc		A large single-use solid rocket booster.	Um grande de uso único foguete sólida.
def_solid_rocket_nozzle_large_node_0_label		Trigger	Desencadear
def_solid_rocket_nozzle_large_node_0_desc		Triggers the booster's combustion.	Desencadeia a combustão do reforço.
def_solid_rocket_nozzle_large_node_1_label		Fuel Remaining	combustível restante
def_solid_rocket_nozzle_large_node_1_desc		The booster's remaining fuel level.	O reforço é remanescente do nível de combustível.
def_solid_rocket_nozzle_medium_name		Solid Rocket Booster (Medium)	Sólido de Rocket impulsionador (Médio)
def_solid_rocket_nozzle_medium_desc		Additional fuel can be stacked on top of the booster to increase its burn duration. The burn rate can be set in the component's properties, with slower burn rates producing less thrust.	combustível adicionais podem ser empilhados em cima do booster para aumentar sua duração queimadura. A taxa de queima pode ser definido nas propriedades do componente, com taxas de queima mais lentas produzem menos empuxo.
def_solid_rocket_nozzle_medium_s_desc		A medium single-use solid rocket booster.	Um de uso único foguete sólido médio.
def_solid_rocket_nozzle_medium_node_0_label		Trigger	Desencadear
def_solid_rocket_nozzle_medium_node_0_desc		Triggers the booster's combustion.	Desencadeia a combustão do reforço.
def_solid_rocket_nozzle_medium_node_1_label		Fuel Remaining	combustível restante
def_solid_rocket_nozzle_medium_node_1_desc		The booster's remaining fuel level.	O reforço é remanescente do nível de combustível.
def_solid_rocket_nozzle_small_name		Solid Rocket Booster (Small)	Sólido de Rocket impulsionador (pequeno)
def_solid_rocket_nozzle_small_desc		Additional fuel can be stacked on top of the booster to increase its burn duration. The burn rate can be set in the component's properties, with slower burn rates producing less thrust.	combustível adicionais podem ser empilhados em cima do booster para aumentar sua duração queimadura. A taxa de queima pode ser definido nas propriedades do componente, com taxas de queima mais lentas produzem menos empuxo.
def_solid_rocket_nozzle_small_s_desc		A small single-use solid rocket booster.	Um pequeno de uso único foguete sólida.
def_solid_rocket_nozzle_small_node_0_label		Trigger	Desencadear
def_solid_rocket_nozzle_small_node_0_desc		Triggers the booster's combustion.	Desencadeia a combustão do reforço.
def_solid_rocket_small_name		Solid Rocket Fuel (Small)	Sólido combustível de Rocket (Small)
def_solid_rocket_small_desc		Fuel can be stacked to increase the burn duration of a rocket booster.	O combustível pode ser empilhados para aumentar a duração queimadura de um foguete.
def_solid_rocket_small_s_desc		A small solid rocket fuel segment.	Um segmento de combustível sólido pequeno.
def_speaker_name		Speaker (Small)	Speaker (Small)
def_speaker_desc		A small speaker capable of playing audio data to nearby players. (Range : 15)	Um pequeno alto-falante capaz de reproduzir dados de áudio para os jogadores próximos. (Intervalo: 15)
def_speaker_s_desc		A speaker capable of playing audio data to players within its range.	Um alto-falante capaz de reproduzir dados de áudio para os jogadores dentro do seu alcance.
def_speaker_node_0_label		Audio	auditivo
def_speaker_node_0_desc		Audio data connection.	conexão de dados de áudio.
def_speaker_node_1_label		Electric	Elétrico
def_speaker_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_speaker_node_2_label		Is Transmit	Is Transmit
def_speaker_node_2_desc		If the speaker is currently transmitting.	Se o orador está transmitindo.
def_speaker_large_name		Megaphone Speaker (Large)	Megafone Speaker (grande)
def_speaker_large_desc		A large megaphone capable of playing audio data to players within its range. (Range : 1000)	Uma grande megafone capaz de reproduzir dados de áudio para os jogadores dentro do seu alcance. (Intervalo: 1000)
def_speaker_large_s_desc		A speaker capable of playing audio data to players within its range.	Um alto-falante capaz de reproduzir dados de áudio para os jogadores dentro do seu alcance.
def_speaker_large_node_0_label		Audio	auditivo
def_speaker_large_node_0_desc		Audio data connection.	conexão de dados de áudio.
def_speaker_large_node_1_label		Electric	Elétrico
def_speaker_large_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_speaker_large_node_2_label		Is Transmit	Is Transmit
def_speaker_large_node_2_desc		If the speaker is currently transmitting.	Se o orador está transmitindo.
def_speaker_medium_name		Megaphone Speaker (Small)	Megafone Speaker (Small)
def_speaker_medium_desc		A small megaphone capable of playing audio data to players within its range. (Range : 300)	Um pequeno megafone capaz de reproduzir dados de áudio para os jogadores dentro do seu alcance. (Intervalo: 300)
def_speaker_medium_s_desc		A speaker capable of playing audio data to players within its range.	Um alto-falante capaz de reproduzir dados de áudio para os jogadores dentro do seu alcance.
def_speaker_medium_node_0_label		Audio	auditivo
def_speaker_medium_node_0_desc		Audio data connection.	conexão de dados de áudio.
def_speaker_medium_node_1_label		Electric	Elétrico
def_speaker_medium_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_speaker_medium_node_2_label		Is Transmit	Is Transmit
def_speaker_medium_node_2_desc		If the speaker is currently transmitting.	Se o orador está transmitindo.
def_stair_segment_name		Stair Step	Degrau
def_stair_segment_desc			#VALOR!
def_stair_segment_s_desc		A single step that can be stacked to create a staircase.	Um único passo que pode ser empilhado para criar uma escadaria.
def_stair_top_name		Stair Top	Stair Top
def_stair_top_desc			#VALOR!
def_stair_top_s_desc		A single step that can be used at the top of a staircase to make it flush with a platform.	A única etapa que pode ser usado no topo de uma escada para torná-lo nivelado com uma plataforma.
def_tail_rotor_name		Tail Rotor	Rotor de cauda
def_tail_rotor_desc		A standard number input allows you to control how much force the rotor generates.	A introdução de número padrão permite controlar quanta força o rotor gera.
def_tail_rotor_s_desc		A basic helicopter tail rotor.	Um rotor de cauda básica helicóptero.
def_tail_rotor_node_0_label		Power	Poder
def_tail_rotor_node_0_desc		Receives power generated by an engine.	Recebe a energia gerada por um motor.
def_tail_rotor_node_1_label		Yaw	Guinada
def_tail_rotor_node_1_desc		Standard value between -1 and 1 representing the desired yaw amount.	valor padrão entre -1 e 1 representando a quantidade desejada de guinada.
def_temperature_probe_name		Temperature Probe	temperatura Probe
def_temperature_probe_desc		A sensor that outputs the current ambient air temperature at its location in Celcius.	Um sensor que emite a temperatura do ar ambiente de corrente na sua localização em graus Celcius.
def_temperature_probe_s_desc		A sensor to determine temperature.	Um sensor para determinar a temperatura.
def_temperature_probe_node_0_label		Temperature	Temperatura
def_temperature_probe_node_0_desc		The detected temperature in degrees.	A temperatura detectada em graus.
def_torque_clutch_name		Clutch	Embreagem
def_torque_clutch_desc		The number input controls the amount of power transmitted.	A introdução do número de controla a quantidade de energia transmitida.
def_torque_clutch_s_desc		A clutch for managing the transmission of power between two nodes.	A embreagem para gerenciar a transmissão de energia entre dois nós.
def_torque_clutch_node_0_label		Power B	poder B
def_torque_clutch_node_0_desc		Power connection B.	Potência de ligação B.
def_torque_clutch_node_1_label		Power A	poder A
def_torque_clutch_node_1_desc		Power connection A.	conexão de energia A.
def_torque_clutch_node_2_label		Clutch Pressure	Pressão da embreagem
def_torque_clutch_node_2_desc		A number between 0 and 1 representing the clutch engagement factor.	Um número entre 0 e 1 que representa o factor de engrenamento da embraiagem.
def_torque_clutch_node_3_label		Electric	Elétrico
def_torque_clutch_node_3_desc		The electric connection to power the component.	A ligação eléctrica para energizar o componente.
def_torque_gearbox_name		Gearbox (Deprecated)	Caixa de velocidades (preterido)
def_torque_gearbox_desc		The ratio can be toggled between two values which can be set in the properties.	A proporção pode ser alternado entre dois valores que podem ser fixados nas propriedades.
def_torque_gearbox_s_desc		Gearbox for changing the torque and speed across power connections.	Caixa de velocidades para mudar o binário e velocidade através de ligações de alimentação.
def_torque_gearbox_node_0_label		Power A	poder A
def_torque_gearbox_node_0_desc		Power connection A.	conexão de energia A.
def_torque_gearbox_node_1_label		Power B	poder B
def_torque_gearbox_node_1_desc		Power connection B.	Potência de ligação B.
def_torque_gearbox_node_2_label		Gear Switch	comutadores
def_torque_gearbox_node_2_desc		Toggle between the two gear ratios.	Alterne entre as duas relações de transmissão.
def_torque_gearbox_node_3_label		Electric	Elétrico
def_torque_gearbox_node_3_desc		The electric connection to power the component.	A ligação eléctrica para energizar o componente.
def_torque_gearbox_2_name		Gearbox	Caixa de velocidade
def_torque_gearbox_2_desc		The ratio can be toggled between two values which can be set in the properties.	A proporção pode ser alternado entre dois valores que podem ser fixados nas propriedades.
def_torque_gearbox_2_s_desc		Gearbox for changing the torque and speed across power connections.	Caixa de velocidades para mudar o binário e velocidade através de ligações de alimentação.
def_torque_gearbox_2_node_0_label		Power A	poder A
def_torque_gearbox_2_node_0_desc		Power connection A.	conexão de energia A.
def_torque_gearbox_2_node_1_label		Power B	poder B
def_torque_gearbox_2_node_1_desc		Power connection B.	Potência de ligação B.
def_torque_gearbox_2_node_2_label		Gear Switch	comutadores
def_torque_gearbox_2_node_2_desc		Toggle between the two gear ratios.	Alterne entre as duas relações de transmissão.
def_torque_gearbox_2_node_3_label		Electric	Elétrico
def_torque_gearbox_2_node_3_desc		The electric connection to power the component.	A ligação eléctrica para energizar o componente.
def_torque_meter_name		Torque Meter	Torque Medidor
def_torque_meter_desc		Measures the torque and rotations per second in the connected power network.	Mede o torque e rotações por segundo na rede de energia ligada.
def_torque_meter_s_desc		A sensor for reading torque and rotations per second.	Um sensor para leitura de binário e rotações por segundo.
def_torque_meter_node_0_label		Power	Poder
def_torque_meter_node_0_desc		Connection to the power system.	A conexão com o sistema de energia.
def_torque_meter_node_1_label		Rotations Per Second	Rotações por segundo
def_torque_meter_node_1_desc		The rotations per second of the power system.	As rotações por segundo do sistema de energia.
def_torque_meter_node_2_label		Torque	Torque
def_torque_meter_node_2_desc		The torque reading from the power system.	O torque de leitura do sistema de energia.
def_train_wheels_name		Train Wheel Assembly	Roda Assembléia trem
def_train_wheels_desc			#VALOR!
def_train_wheels_s_desc			#VALOR!
def_train_wheels_node_0_label		Brakes	freios
def_train_wheels_node_0_desc		Number input to set the level of braking applied to the wheels.	Número de entrada para definir o nível de travagem aplicada às rodas.
def_train_wheels_node_1_label		Power	Poder
def_train_wheels_node_1_desc		Receives power generated by an engine to control forward and backward rotation.	Recebe energia gerada por um motor para controlar a rotação para a frente e para trás.
def_train_wheels_node_2_label		Wheel Slip	patinagem das rodas
def_train_wheels_node_2_desc		Detects if wheels are slipping resulting in reduced torque.	Detecta se as rodas estão escorregando resultando em torque reduzido.
def_transponder_name		Emergency Beacon	Beacon emergência
def_transponder_desc		When activated, emits a continuous transponder signal that can be detected over great distances by any transponder locator.	Quando activado, emite um sinal de transponder contínua que pode ser detectada ao longo de grandes distâncias, por qualquer localizador transponder.
def_transponder_s_desc		An emergency search and rescue transponder.	Uma pesquisa de emergência e transponder resgate.
def_transponder_node_0_label		Electric	Elétrico
def_transponder_node_0_desc		Electrical power connection.	conexão de energia elétrica.
def_transponder_node_1_label		Active	Ativo
def_transponder_node_1_desc		Emit a continuous transponder signal when active.	Emitir um sinal de transponder contínua quando activo.
def_transponder_locator_name		Emergency Beacon Locator	Emergency Locator Beacon
def_transponder_locator_desc		Detects all transponder signals over great distances. Outputs the strongest signal strength detected, transponder signal strengths will decrease with distance.	Detecta todos os sinais de transponder a grandes distâncias. Saídas a intensidade do sinal mais forte detectado, intensidades de sinal de transponder irá diminuir com a distância.
def_transponder_locator_s_desc		An emergency search and rescue transponder locator.	Uma pesquisa de emergência e resgate locator transponder.
def_transponder_locator_node_0_label		Transponder pulse	pulso transponder
def_transponder_locator_node_0_desc		Emits a periodic boolean pulse, with a frequency determined by the distance to the nearest transponder signal.	Emite-se um pulso booleano periódica, com uma frequência determinada pela distância ao sinal do transponder mais próximo.
def_transponder_locator_node_1_label		Electric	Elétrico
def_transponder_locator_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_transponder_locator_node_2_label		Active	Ativo
def_transponder_locator_node_2_desc		Detects any transponder signals when active.	Detecta qualquer sinal de transponder quando ativo.
def_trans_angle_name		Pipe Angle	tubo de Ângulo
def_trans_angle_desc			#VALOR!
def_trans_angle_s_desc		An angled pipe for transferring to components from an engine.	Um tubo em ângulo para a transferência de componentes de um motor.
def_trans_block_angle_name		Pipe Angle (Enclosed)	Ângulo tubo (fechado)
def_trans_block_angle_desc			#VALOR!
def_trans_block_angle_s_desc		An angled pipe for transferring to components from an engine.	Um tubo em ângulo para a transferência de componentes de um motor.
def_trans_block_cross_name		Pipe Cross (Enclosed)	Tubo transversal (fechado)
def_trans_block_cross_desc			#VALOR!
def_trans_block_cross_s_desc		An X-shaped pipe segment that can be used to branch piping into four directions.	Um segmento de tubo em forma de X que pode ser usada para tubagens ramo em quatro direcções.
def_trans_block_cross_corner_name		Pipe Cross Corner (Enclosed)	Tubo Cruz canto (fechada)
def_trans_block_cross_corner_desc			#VALOR!
def_trans_block_cross_corner_s_desc		An X-shaped pipe segment that can be used to branch piping into five directions.	Um segmento de tubo em forma de X que pode ser usada para tubagens ramo em cinco instruções.
def_trans_block_omni_name		Pipe Omni (Enclosed)	Omni tubo (fechado)
def_trans_block_omni_desc			#VALOR!
def_trans_block_omni_s_desc		An omnidirectional pipe segment.	Um segmento de tubo omnidireccional.
def_trans_block_straight_name		Pipe Straight (Enclosed)	Tubo rectilíneo (fechado)
def_trans_block_straight_desc			#VALOR!
def_trans_block_straight_s_desc		A straight section of pipe for transferring to components from an engine.	A secção recta do tubo de transferência de componentes a partir de um motor.
def_trans_block_t_name		Pipe T-Piece (Enclosed)	Tubo de peça em T (fechado)
def_trans_block_t_desc			#VALOR!
def_trans_block_t_s_desc		A T-shaped pipe segment that can be used to branch piping into two directions.	Uma forma de T segmento de tubo que pode ser usado para tubagens ramo em duas direcções.
def_trans_block_t_corner_name		Pipe T-Piece-Corner (Enclosed)	Cano em T-Piece-Canto (fechado)
def_trans_block_t_corner_desc			#VALOR!
def_trans_block_t_corner_s_desc		A T-shaped pipe segment that can be used to branch piping into three directions.	Uma forma de T segmento de tubo que pode ser usado para tubagens ramo em três direcções.
def_trans_cross_name		Pipe Cross	Cruz tubulação
def_trans_cross_desc			#VALOR!
def_trans_cross_s_desc		An X-shaped pipe segment that can be used to branch piping into four directions.	Um segmento de tubo em forma de X que pode ser usada para tubagens ramo em quatro direcções.
def_trans_cross_corner_name		Pipe Cross Corner	Tubo Cruz Canto
def_trans_cross_corner_desc			#VALOR!
def_trans_cross_corner_s_desc		An X-shaped pipe segment that can be used to branch piping into five directions.	Um segmento de tubo em forma de X que pode ser usada para tubagens ramo em cinco instruções.
def_trans_omni_name		Pipe Omni	tubo de Omni
def_trans_omni_desc			#VALOR!
def_trans_omni_s_desc		An omnidirectional pipe segment.	Um segmento de tubo omnidireccional.
def_trans_straight_name		Pipe Straight	Em linha reta da tubulação
def_trans_straight_desc			#VALOR!
def_trans_straight_s_desc		A straight section of pipe for transferring to components from an engine.	A secção recta do tubo de transferência de componentes a partir de um motor.
def_trans_t_name		Pipe T-Piece	Tubulação T-Piece
def_trans_t_desc			#VALOR!
